fname,lname,gender,age,exercise,hours,grade,address
Marcia,Pugh,female,17,3,10,82.4,"7379 Highland Rd. , Dublin, GA 31021"
Kadeem,Morrison,male,18,4,4,78.2,"8 Bayport St. , Honolulu, HI 96815"
Nash,Powell,male,18,5,9,79.3,"Encino, CA 91316, 3 Lilac Street "
Noelani,Wagner,female,14,2,7,83.2,"Riverview, FL 33569, 9998 North Smith Dr. "
Noelani,Cherry,female,18,4,15,87.4,"97 SE. Ocean Street , Bethlehem, PA 18015"
Neil,Whitley,male,16,5,16,88.7,"8041 Sunbeam Dr. , Downers Grove, IL 60515"
Nelle,Golden,female,17,1,9,80.2,"8701 Rockville Ave. , Grovetown, GA 30813"
Armando,Hoffman,male,17,5,18,95.1,"9 Old Tarkiln Hill Court , Council Bluffs, IA 51501"
Illiana,Rojas,female,15,5,9,76.5,"133 Valley Farms Lane , Ephrata, PA 17522"
Neil,Wooten,male,15,3,15,89.7,"43 Wood Court , Lincoln, NE 68506"
Daquan,Alvarez,male,16,2,13,85.2,"6 Laurel St. , Ormond Beach, FL 32174"
Nola,Velazquez,female,15,2,10,75.3,"Hopkinsville, KY 42240, 495 Cypress Road "
Quinn,Warren,female,14,4,12,80.7,"Reynoldsburg, OH 43068, 81 Somerset Dr. "
Frances,Velasquez,female,15,2,15,84.2,"Roswell, GA 30075, 41 Branch St. "
Lareina,Poole,female,18,1,14,87.6,"Salt Lake City, UT 84119, 515 Wintergreen Ave. "
Medge,Mccarthy,female,15,1,8,75.8,"8985 Bishop Lane , Painesville, OH 44077"
Kibo,Gates,male,16,1,10,88.2,"9855 Fawn Lane , Roy, UT 84067"
Libby,Guzman,female,19,1,19,100.0,"92 Williams Ave. , Burbank, IL 60459"
Shelly,Rosario,female,18,4,13,84.3,"54 Crescent Drive , Groton, CT 06340"
Lane,Tate,male,19,4,11,84.2,"557 Rockwell Street , Irwin, PA 15642"
Isadora,Case,female,18,3,11,79.1,"Milton, MA 02186, 2 Third Street "
Maggy,Whitfield,female,15,1,15,90.5,"99 Sage Street , Bozeman, MT 59715"
Elton,Wagner,male,16,2,9,71.0,"Powder Springs, GA 30127, 81 East Logan Drive "
Lance,Benjamin,male,14,5,18,90.3,"24 Cardinal St. , Trenton, NJ 08610"
Kyle,Skinner,male,17,5,6,82.4,"Lawndale, CA 90260, 860 Henry Ave. "
Colin,Cohen,male,14,1,10,83.8,"9249 S. Third Ave. , New Castle, PA 16101"
Solomon,Mcpherson,male,15,5,18,94.5,"Groton, CT 06340, 711 Ashley Dr. "
Ulla,Warren,female,18,1,16,83.5,"7310 Beach Street , Altamonte Springs, FL 32714"
Tyler,Collier,male,16,1,9,69.7,"8339 Heritage Ave. , Meadville, PA 16335"
Emma,Mccall,female,16,2,13,91.1,"Reading, MA 01867, 256 Peninsula Drive "
Isaiah,Newman,male,16,2,12,91.9,"Orlando, FL 32806, 8278 Logan Lane "
