fname,lname,gender,age,exercise,hours,grade,address
Marcia,Pugh,female,17,3,10,82.4,"9253 Richardson Road, Matawan, NJ 07747"
Kadeem,Morrison,male,18,4,4,78.2,"33 Spring Dr., Taunton, MA 02780"
Nash,Powell,male,18,5,9,79.3,"41 Hill Avenue, Mentor, OH 44060"
Noelani,Wagner,female,14,2,7,83.2,"8839 Marshall St., Miami, FL 33125"
Noelani,Cherry,female,18,4,15,87.4,"8304 Charles Rd., Lewis Center, OH 43035"
Neil,Whitley,male,16,5,16,88.7,"40 Washington Ave., Bloomfield, NJ 07003"
Nelle,Golden,female,17,1,9,80.2,"9768 Hanover Dr., Meadville, PA 16335"
Armando,Hoffman,male,17,5,18,95.1,"360 Manor Drive, Northville, MI 48167"
Illiana,Rojas,female,15,5,9,76.5,"9425 Studebaker Dr., Thibodaux, LA 70301"
Neil,Wooten,male,15,3,15,89.7,"400 Bridge Court, Soddy Daisy, TN 37379"
Daquan,Alvarez,male,16,2,13,85.2,"9028 Arnold Circle, Elizabeth, NJ 07202"
Nola,Velazquez,female,15,2,10,75.3,"72 Bradford Dr., Carlisle, PA 17013"
Quinn,Warren,female,14,4,12,80.7,"760 Smith Street, Appleton, WI 54911"
Frances,Velasquez,female,15,2,15,84.2,"57 Bridge St., Tupelo, MS 38801"
Lareina,Poole,female,18,1,14,87.6,"59 Court Dr., Waxhaw, NC 28173"
Medge,Mccarthy,female,15,1,8,75.8,"609 Warren Court, Prior Lake, MN 55372"
Kibo,Gates,male,16,1,10,88.2,"24 Vernon Street, Helena, MT 59601"
Libby,Guzman,female,19,1,19,100.0,"666 S. Pennington Rd., Dover, NH 03820"
Shelly,Rosario,female,18,4,13,84.3,"571 Miles Street, Flowery Branch, GA 30542"
Lane,Tate,male,19,4,11,84.2,"4 Old Westport St., Glen Burnie, MD 21060"
Isadora,Case,female,18,3,11,79.1,"44 Ocean Lane, Appleton, WI 54911"
Maggy,Whitfield,female,15,1,15,90.5,"2 Henry Ave., Palm Bay, FL 32907"
Elton,Wagner,male,16,2,9,71.0,"98 Indian Spring St., Athens, GA 30605"
Lance,Benjamin,male,14,5,18,90.3,"55 Creek Dr., Lorton, VA 22079"
Kyle,Skinner,male,17,5,6,82.4,"8593 East Branch St., Mooresville, NC 28115"
Colin,Cohen,male,14,1,10,83.8,"23 Lakewood Street, Lake Worth, FL 33460"
Solomon,Mcpherson,male,15,5,18,94.5,"7465 North Pearl St., Massapequa Park, NY 11762"
Ulla,Warren,female,18,1,16,83.5,"89 Fairview Avenue, Hopkins, MN 55343"
Tyler,Collier,male,16,1,9,69.7,"65 Lookout Street, Marshfield, WI 54449"
Emma,Mccall,female,16,2,13,91.1,"854 Sussex Street, Westford, MA 01886"
Isaiah,Newman,male,16,2,12,91.9,"12 Shirley Road, Everett, MA 02149"
Carol,Acosta,female,16,3,13,85.0,"8459 Windfall St., Navarre, FL 32566"
Georgia,Munoz,female,14,5,20,99.0,"84 New Saddle St., Revere, MA 02151"
Doris,Melendez,female,17,5,12,93.2,"8 Euclid Drive, Bel Air, MD 21014"
Eric,Larsen,male,14,2,11,71.9,"366 State Ave., Hendersonville, NC 28792"
Cain,Sexton,male,16,3,8,85.3,"9370 Green Hill Dr., Beaver Falls, PA 15010"
Ivor,Arnold,male,19,4,20,100.0,"7027 Magnolia Dr., Catonsville, MD 21228"
Devin,Jacobs,male,14,3,14,98.1,"9033 NW. Pleasant St., Salisbury, MD 21801"
Rebekah,Brock,female,16,2,5,68.9,"74 Gonzales Court, Natchez, MS 39120"
Cameran,Sears,female,14,4,8,75.4,"6 S. Edgewater Ave., Royersford, PA 19468"
Norman,Cunningham,male,17,2,10,76.8,"8365 Liberty Street, Miami, FL 33125"
Lenore,Copeland,female,14,4,8,74.0,"74 Howard Ave., Southfield, MI 48076"
Keelie,Guerrero,female,15,1,12,81.0,"221 Walt Whitman Court, Redondo Beach, CA 90278"
Hilel,Hamilton,male,15,2,17,95.2,"9761 Lexington Street, Littleton, CO 80123"
Dolan,Ford,male,14,3,3,64.2,"12 New St., Newark, NJ 07103"
Rhea,Melton,female,18,5,12,95.0,"9210 Fawn Drive, South Richmond Hill, NY 11419"
Fulton,Castaneda,male,14,3,10,71.2,"956 East Street, Hamburg, NY 14075"
Kiayada,Bullock,female,18,3,11,74.9,"613 Peg Shop Court, Yuma, AZ 85365"
Aurelia,Clayton,female,14,5,3,72.1,"81 High Ave., Bear, DE 19701"
Nero,Klein,male,18,2,10,87.8,"164 Lakeview St., Port Chester, NY 10573"
Aladdin,Chambers,male,19,4,11,82.6,"838 Magnolia Drive, Arlington, MA 02474"
Beau,Goff,male,19,2,15,85.1,"848 Creekside Road, Germantown, MD 20874"
Octavius,Walker,male,15,2,11,81.3,"568 Longfellow Street, Garland, TX 75043"
Allen,Livingston,male,18,5,13,89.4,"399 Pheasant Drive, Natick, MA 01760"
Basil,Fuller,male,16,3,9,86.4,"8216 Constitution Street, Romulus, MI 48174"
Reese,Kline,male,16,4,11,83.5,"105 Pineknoll Drive, Shirley, NY 11967"
Tate,Dunlap,male,17,2,6,67.7,"256 High Street, Youngstown, OH 44512"
Jonah,Sosa,male,14,5,12,89.9,"197 Joy Ridge St., Trussville, AL 35173"
Ingrid,Harvey,female,16,5,5,72.6,"399 Sussex St., Bowling Green, KY 42101"
Tanner,Vaughn,male,17,4,11,89.1,"9707 Saxton Drive, New Brunswick, NJ 08901"
Oleg,Mooney,male,16,3,10,71.3,"89 Redwood Street, Virginia Beach, VA 23451"
Piper,Lowery,female,19,2,5,61.4,"345 Greenrose Dr., Feasterville Trevose, PA 19053"
Genevieve,Adkins,female,15,1,8,67.3,"8480 Aspen Street, Chesterton, IN 46304"
Lilah,Roman,female,19,4,9,85.9,"292 Devonshire Ave., Emporia, KS 66801"
Illiana,Thompson,female,15,3,17,86.0,"7156 Crescent Street, South Windsor, CT 06074"
Warren,Pope,male,18,4,5,76.3,"234 East San Pablo St., Mount Laurel, NJ 08054"
Regan,Foley,female,16,2,9,77.4,"115 Gainsway St., Suitland, MD 20746"
Justin,Morris,male,19,5,10,77.5,"8221 Griffin Street, Macungie, PA 18062"
Isaiah,Patrick,male,19,4,3,65.3,"7103 Oak Street, Pikesville, MD 21208"
Daryl,Benson,female,19,1,18,93.8,"583 Border St., Dunedin, FL 34698"
Barbara,Berger,female,16,3,12,82.7,"99 Thompson Road, Harlingen, TX 78552"
Christine,Briggs,female,14,5,18,91.9,"88 Magnolia Street, Hamden, CT 06514"
Iola,Bowers,female,19,3,11,88.4,"7647 Galvin St., Lake In The Hills, IL 60156"
Lars,Oconnor,male,18,4,8,67.9,"9 Race Court, West Roxbury, MA 02132"
Jaden,Maldonado,female,16,4,10,84.5,"8127 Myers Dr., Johnson City, TN 37601"
Signe,Lopez,female,18,2,13,76.7,"5 Gonzales St., Bettendorf, IA 52722"
Deanna,Warren,female,19,1,9,83.2,"618 Goldfield Rd., Aiken, SC 29803"
Quemby,Justice,female,14,2,17,100.0,"346 Birchpond Court, Decatur, GA 30030"
Shafira,Guthrie,female,17,4,12,85.3,"618 Buckingham Ave., Langhorne, PA 19047"
